Equipe,année,pourcentage
Boston Bruins,1990,0.55
Buffalo Sabres,1990,0.388
Calgary Flames,1990,0.575
Chicago Blackhawks,1990,0.613
Detroit Red Wings,1990,0.425
Edmonton Oilers,1990,0.463
Hartford Whalers,1990,0.388
Los Angeles Kings,1990,0.575
Minnesota North Stars,1990,0.338
Montreal Canadiens,1990,0.487
New Jersey Devils,1990,0.4
New York Islanders,1990,0.312
New York Rangers,1990,0.45
Philadelphia Flyers,1990,0.412
Pittsburgh Penguins,1990,0.512
Quebec Nordiques,1990,0.2
St. Louis Blues,1990,0.588
Toronto Maple Leafs,1990,0.287
Vancouver Canucks,1990,0.35
Washington Capitals,1990,0.463
Winnipeg Jets,1990,0.325
Boston Bruins,1991,0.45
Buffalo Sabres,1991,0.388
Calgary Flames,1991,0.388
Chicago Blackhawks,1991,0.45
Detroit Red Wings,1991,0.537
Edmonton Oilers,1991,0.45
Hartford Whalers,1991,0.325
Los Angeles Kings,1991,0.438
Minnesota North Stars,1991,0.4
Montreal Canadiens,1991,0.512
New Jersey Devils,1991,0.475
New York Islanders,1991,0.425
New York Rangers,1991,0.625
Philadelphia Flyers,1991,0.4
Pittsburgh Penguins,1991,0.487
Quebec Nordiques,1991,0.25
San Jose Sharks,1991,0.212
St. Louis Blues,1991,0.45
Toronto Maple Leafs,1991,0.375
Vancouver Canucks,1991,0.525
Washington Capitals,1991,0.562
Winnipeg Jets,1991,0.412
Boston Bruins,1992,0.607
Buffalo Sabres,1992,0.452
Calgary Flames,1992,0.512
Chicago Blackhawks,1992,0.56
Detroit Red Wings,1992,0.56
Edmonton Oilers,1992,0.31
Hartford Whalers,1992,0.31
Los Angeles Kings,1992,0.464
Minnesota North Stars,1992,0.429
Montreal Canadiens,1992,0.571
New Jersey Devils,1992,0.476
New York Islanders,1992,0.476
New York Rangers,1992,0.405
Ottawa Senators,1992,0.119
Philadelphia Flyers,1992,0.429
Pittsburgh Penguins,1992,0.667
Quebec Nordiques,1992,0.56
San Jose Sharks,1992,0.131
St. Louis Blues,1992,0.44
Tampa Bay Lightning,1992,0.274
Toronto Maple Leafs,1992,0.524
Vancouver Canucks,1992,0.548
Washington Capitals,1992,0.512
Winnipeg Jets,1992,0.476
Mighty Ducks of Anaheim,1993,0.393
Boston Bruins,1993,0.5
Buffalo Sabres,1993,0.512
Calgary Flames,1993,0.5
Chicago Blackhawks,1993,0.464
Dallas Stars,1993,0.5
Detroit Red Wings,1993,0.548
Edmonton Oilers,1993,0.298
